order_id,order_item_id,order_purchase_timestamp,atraso_dias,y_atraso,dias_previstos_entrega,dist_km,peso_kg,vol_m3,densidade,frete_ratio,ticket,mes_num,seller_state,customer_state,product_category_name
00010242fe8c5a6d1ba2dd792cb16214,1,2017-09-13 08:59:02,-8.0,0,15,301.5046806750974,0.65,0.003528,0.6477148619669806,0.22186978297161936,58.9,9,SP,RJ,cool_stuff
00018f77f2f0320c557190d7a144bdd3,1,2017-04-26 10:53:06,-2.0,0,18,585.5639365089672,30.0,0.06,28.30188679245283,0.08273142382731423,239.9,4,SP,SP,pet_shop
000229ec398224ef6ca0657da4fc703e,1,2018-01-14 14:33:31,-14.0,0,21,312.3435113681828,3.05,0.014157,3.007423899849826,0.08935,199.0,1,MG,MG,moveis_decoracao
00024acbcdf0a6daa1e931b038114c75,1,2018-08-08 10:00:35,-5.0,0,11,293.16841989111253,0.2,0.0024,0.19952114924181966,0.9142244460328806,12.99,8,SP,SP,perfumaria
00042b26cf59d7ce69dfabb4e55b4fd9,1,2017-02-04 13:57:51,-15.0,0,40,646.1634625711987,3.75,0.042,3.5988483685220727,0.09029367844698855,199.9,2,PR,SP,ferramentas_jardim
00048cc3ae777c65dbb7d2a0634bc1ea,1,2017-05-15 21:42:34,-15.0,0,21,161.8542408470037,0.45,0.00288,0.4487077217613274,0.5541484716157206,21.9,5,SP,MG,utilidades_domesticas
00054e8431b9d7675808bcb819fb4a32,1,2017-12-10 11:53:48,-16.0,0,24,484.8601644926512,0.2,0.0027,0.19946145407400023,0.5669856459330144,19.9,12,SP,SP,telefonia
000576fe39319847cbb9d288c5617fa6,1,2018-07-04 12:08:27,-15.0,0,20,548.1063089157608,13.805,0.118125,12.346562325321408,0.08723797780517879,810.0,7,SP,SP,ferramentas_jardim
0005a1a1728c9d785b8e2b08b904576c,1,2018-03-19 18:40:33,0.0,0,9,53.23650744571968,2.0,0.00576,1.9885459751829462,0.07927866621299763,145.95,3,SP,SP,beleza_saude
0005f50442cb953dcd1d21e1fb923495,1,2018-07-02 13:59:39,-18.0,0,20,33.24946825937017,0.85,0.001827,0.8484498820654663,0.2073104200763775,53.99,7,SP,SP,livros_tecnicos
00061f2a7bc09da83e415a52dc8a4af1,1,2018-03-24 22:16:10,-11.0,0,15,154.1345401374723,0.95,0.0175,0.9336609336609335,0.1455976389572061,59.99,3,SP,SP,beleza_saude
00063b381e2406b52ad429470734ebd5,1,2018-07-27 17:21:27,0.0,0,10,318.22185149782183,0.2,0.002816,0.19943838151764634,0.2821739130434783,45.0,7,SP,SP,fashion_bolsas_e_acessorios
0006ec9db01a64e59a68b2c340bf65a7,1,2018-07-24 17:04:17,-22.0,0,28,566.2993726798246,1.383,0.02,1.3558823529411765,0.31093333333333334,74.0,7,SP,RJ,cama_mesa_banho
0008288aa423d2a3f00fcb17cd7d8719,1,2018-02-13 22:10:21,-8.0,0,20,396.81868493362254,1.65,0.0198,1.617964306726809,0.262671905697446,49.9,2,SP,SP,ferramentas_jardim
0008288aa423d2a3f00fcb17cd7d8719,2,2018-02-13 22:10:21,-8.0,0,20,396.81868493362254,1.65,0.0198,1.617964306726809,0.262671905697446,49.9,2,SP,SP,ferramentas_jardim
0009792311464db532ff765bf7b182ae,1,2018-08-14 20:43:09,-6.0,0,13,865.0404525516833,1.05,0.024,1.025390625,0.27403369672943506,99.9,8,PR,MG,esporte_lazer
0009c9a17f916a706d71784483a5d643,1,2018-04-25 09:10:41,-8.0,0,13,79.92611788567488,0.2,0.00096,0.19980818414322252,0.01771875,639.0,4,SP,SP,consoles_games
000aed2e25dbad2f9ddb70584c5a2ded,1,2018-05-11 20:33:38,-4.0,0,10,37.93670550251839,0.468,0.007866,0.46434744301325775,0.06048275862068965,144.0,5,SP,SP,perfumaria
000c3e6612759851cc3cbb4b83257986,1,2017-08-12 10:08:57,-12.0,0,19,249.1518640449271,1.8,0.004096,1.79265727579833,0.1371,99.0,8,SP,SP,esporte_lazer
